Planet_Name,System_Distance_PC,Star_Temperature_K,System_Infrared_Magnitude
K2-233 b,67.5062,5033.0,8.375
TOI-2524 b,438.842,5831.0,11.198
CoRoT-8 b,322.037,5080.0,11.463
Kepler-305 d,868.477,5090.0,13.702
Kepler-413 b,847.536,4700.0,13.415
OGLE-TR-113 b,566.459,4790.0,10.03343479591837
TOI-1749 c,99.5561,3985.0,10.27
HAT-P-1 b,158.979,5980.0,8.858
KOI-94 d,477.052,6182.0,10.926
Kepler-18 c,433.047,5345.0,11.756
Kepler-79 d,1020.72,6174.0,12.606
CoRoT-6 b,645.294,6090.0,12.119
Kepler-426 b,843.695,5725.0,13.212
Kepler-44 b,1188.0,5800.0,12.878
Kepler-97 b,400.907,5779.0,11.345
Qatar-6 b,100.848,5052.0,9.226
HAT-P-24 b,415.344,6373.0,10.543
HAT-P-54 b,143.651,4390.0,10.326
K2-32 c,157.682,5271.0,9.821
NGTS-23 b,1074.95,6057.0,12.73
Qatar-2 b,181.374,4645.0,10.619
TOI-2337 b,536.046,4780.0,9.678001
TOI-2525 c,395.398,5096.0,11.905
CoRoT-16 b,732.409,5650.0,12.847
GJ 1252 b,20.373,3458.0,7.915
HD 15337 b,44.8155,5125.0,7.044
HD 21749 c,16.32,4640.0,5.375
K2-261 b,213.283,5490.0,8.89
TOI-1298 b,319.036,5752.0,10.012
TOI-1669 c,111.276,5497.0,8.462
TOI-2025 b,335.985,5977.0,10.01
TOI-2158 b,198.473,5673.0,9.071
TOI-2285 b,42.409,3491.0,9.034
TOI-3321 b,285.895,5850.0,9.67
CoRoT-30 b,1032.23,5650.0,13.562
K2-290 b,272.909,6302.0,9.42
K2-30 b,333.042,5425.0,11.088
Kepler-106 d,444.322,5858.0,11.431
Kepler-7 b,922.562,5933.0,11.535
TOI-1751 b,113.335,5970.0,7.934
TOI-2368 b,210.915,5360.0,10.342
TOI-558 b,402.63,6466.0,10.262
CoRoT-24 c,591.555,4950.0,12.924
Kepler-99 b,208.369,4782.0,10.757
NGTS-5 b,306.779,4987.0,11.612
TOI-1246 e,169.422,5213.0,9.907
TOI-329 b,284.388,5614.0,9.677
CoRoT-11 b,655.037,6440.0,11.248
HATS-46 b,453.808,5495.0,11.965
CoRoT-1 b,787.909,5950.0,12.149
CoRoT-22 b,627.158,5939.0,11.988
Kepler-100 b,304.645,5825.0,9.768
HD 21520 b,79.208,5871.0,7.707
HD 3167 b,47.2899,5261.0,7.066
K2-222 b,101.321,5942.0,8.105
Kepler-20 b,282.563,5495.0,10.871
Kepler-20 d,282.563,5495.0,10.871
NGTS-11 b,190.422,5050.0,10.315
TOI-5678 b,165.393,5485.0,9.563
K2-138 g,202.585,5356.3,10.305
KOI-3503 c,887.064,6001.0,12.483
Kepler-51 c,783.831,6018.0,13.197
CoRoT-12 b,1126.37,5675.0,13.557
HATS-24 b,494.182,6125.0,11.382
K2-132 b,609.818,4840.0,9.54
Kepler-68 c,144.166,5847.0,8.588
NGTS-21 b,592.891,4660.0,12.951
TIC 4672985 b,253.385,5757.0,9.97
TOI-178 f,62.699,4316.0,8.656
K2-60 b,491.87,5500.0,10.993
HD 114082 b,95.3906,6651.0,7.163
TOI-2152 A b,303.006,6630.0,9.597
K2-138 d,202.585,5356.3,10.305
HAT-P-53 b,666.802,5956.0,12.1
TIC 365102760 b,555.546,4900.0,9.788
HAT-P-12 b,142.751,4650.0,10.108
Kepler-553 b,728.525,5191.0,13.064
LHS 1815 b,29.8424,3643.0,7.993
TOI-3235 b,72.811,3388.8,10.819
HAT-P-23 b,364.813,5905.0,10.791
Kepler-129 c,408.845,5770.0,10.252
NGTS-3 A b,743.972,5600.0,12.814
TOI-519 b,115.557,3322.0,11.951
K2-232 b,130.72,6154.0,8.434
TOI-2714 b,597.873,5665.0,11.807
HAT-P-7 b,341.079,6389.0,9.334
HATS-51 b,389.57,5758.0,10.867
HD 137496 b,155.317,5799.0,8.244
Kepler-51 d,783.831,6018.0,13.197
Kepler-1655 b,213.26,6148.0,9.785
Kepler-52 b,321.542,4075.0,12.36
TOI-4515 b,193.499,5433.0,10.134
HATS-32 b,745.116,5700.0,12.699
HATS-54 b,748.585,5621.0,12.17
HD 152843 c,107.898,6310.0,7.629
Kepler-131 b,228.678,5685.0,10.079
TOI-5153 b,390.484,6300.0,10.408
HIP 29442 c,68.192,5289.0,7.587
HIP 9618 c,67.5478,5649.0,7.559
HD 63935 c,48.9739,5513.0,6.881
K2-138 b,202.585,5356.3,10.305
Kepler-113 c,262.351,4725.0,11.255
Qatar-10 b,559.068,6124.0,11.382
TOI-421 c,74.7969,5291.0,8.071
CoRoT-23 b,1060.97,5900.0,12.364
HATS-71 b,140.225,3405.0,11.727
HAT-P-5 b,303.336,5960.0,10.481
HAT-P-6 b,275.358,6570.0,9.313
HD 80606 b,66.4711,5561.0,7.316
TOI-1272 b,137.572,5065.0,9.701
TOI-1422 b,155.141,5840.0,9.19
TOI-6029 b,603.119,6223.0,10.369
HD 80653 b,109.86,5959.0,8.018
CoRoT-25 b,1103.48,6040.0,12.846
Kepler-18 d,433.047,5345.0,11.756
Kepler-31 c,1664.64,6340.0,13.871
TOI-1824 b,59.4314,5165.0,7.757
HATS-55 b,609.838,6214.0,12.02
Kepler-11 e,646.346,5663.0,12.18
Kepler-1513 b,349.247,5491.0,11.309
TOI-2416 b,557.733,5808.0,11.511
HD 106315 c,109.353,6327.0,7.853
HD 110067 d,32.1585,5266.0,6.492
K2-19 d,289.827,5322.0,11.161
Kepler-424 b,698.646,5460.0,12.47
Kepler-11 c,646.346,5663.0,12.18
TOI-1246 d,169.422,5213.0,9.907
TOI-1775 b,149.234,5284.0,9.722
HATS-18 b,624.368,5600.0,12.289
K2-110 b,116.474,5010.0,9.607
K2-260 b,663.834,6860.0,11.093
Kepler-101 b,927.981,5667.0,12.011
Kepler-323 c,454.883,6004.0,11.354
Kepler-4 b,487.916,5857.0,10.805
K2-417 b,94.0424,3861.0,10.06
TIC 237913194 b,306.063,5788.0,10.485
TOI-1836 b,191.649,6237.0,8.531
HAT-P-21 b,277.278,5588.0,10.111
Kepler-307 b,575.581,5367.0,12.321
TOI-1478 b,152.892,5597.0,9.201
Gaia-1 b,363.66,5470.0,11.269
HAT-P-20 b,71.0374,4595.0,8.601
