Planet_Mass_Earth,Equilibrium_Temperature,Planet_Radius_Earth,Category,Category_Index,features_cat,rawPrediction,probability,prediction
200.2329,1645,17.598,Gas Giant,0.0,"[200.2329,1645.0,17.598]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
1369.8473,1681,12.285,Gas Giant,0.0,"[1369.8473,1681.0,12.285]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
8.56,871,2.41,Rocky Planet,1.0,"[8.56,871.0,2.41]","[0.0,10.0]","[0.0,1.0]",1.0
88.03847,981,11.299,Gas Giant,0.0,"[88.03847,981.0,11.299]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
9.68,1089,2.59,Rocky Planet,1.0,"[9.68,1089.0,2.59]","[0.0,10.0]","[0.0,1.0]",1.0
92.80589,1331,14.886,Gas Giant,0.0,"[92.80589,1331.0,14.886]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
387.0,1494,14.199,Gas Giant,0.0,"[387.0,1494.0,14.199]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
176.07694,1818,18.058,Gas Giant,0.0,"[176.07694,1818.0,18.058]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
788.21445,725,13.675,Gas Giant,0.0,"[788.21445,725.0,13.675]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
30.9,902,4.48,Gas Giant,0.0,"[30.9,902.0,4.48]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
2.89,999,2.018,Rocky Planet,1.0,"[2.89,999.0,2.018]","[0.0,10.0]","[0.0,1.0]",1.0
224.38798,1414,13.171,Gas Giant,0.0,"[224.38798,1414.0,13.171]","[9.988344988344988,0.011655011655011656]","[0.9988344988344988,0.0011655011655011655]",0.0
16.4,512,3.39,Gas Giant,0.0,"[16.4,512.0,3.39]","[9.953862229724297,0.04613777027570131]","[0.99538622297243,0.004613777027570132]",0.0
