Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
K2-30 b,0.04839,1092,Not Habitable
TOI-3919 b,0.0795,1198,Not Habitable
K2-180 b,0.0756,798,Not Habitable
K2-24 b,0.11312557679914075,1102,Not Habitable
Kepler-539 b,0.4988,388,Not Habitable
TOI-5005 b,0.06614,1040,Not Habitable
TOI-150.01,0.07037,1404,Not Habitable
TOI-260 b,0.0943,493,Not Habitable
K2-19 d,0.11312557679914075,1102,Not Habitable
Kepler-14 b,0.11312557679914075,1102,Not Habitable
Kepler-68 c,0.09008,1052,Not Habitable
TOI-2088 b,0.472,300,Potentially Habitable
CoRoT-27 b,0.0476,1500,Not Habitable
HD 106315 c,0.1536,886,Not Habitable
HIP 9618 c,0.269,470,Not Habitable
KELT-2 A b,0.11312557679914075,1102,Not Habitable
Kepler-413 b,0.3553,1102,Not Habitable
LTT 1445 A c,0.02661,508,Not Habitable
TOI-4377 b,0.0579,1102,Not Habitable
CoRoT-24 c,0.098,850,Not Habitable
HATS-55 b,0.05412,1367,Not Habitable
HD 209458 b,0.11312557679914075,1102,Not Habitable
HD 221416 b,0.1228,1102,Not Habitable
Kepler-60 b,0.11312557679914075,1102,Not Habitable
HD 28109 d,0.411,506,Not Habitable
Kepler-79 c,0.187,1102,Not Habitable
TOI-1472 b,0.065,811,Not Habitable
TOI-2141 b,0.133,722,Not Habitable
KOI-3680 b,0.534,347,Not Habitable
Kepler-34 b,1.0896,1102,Not Habitable
HAT-P-28 b,0.0434,1384,Not Habitable
Kepler-11 b,0.091,1102,Not Habitable
Kepler-406 b,0.11312557679914075,1102,Not Habitable
Kepler-424 b,0.044,1102,Not Habitable
Kepler-1705 b,0.11312557679914075,1102,Not Habitable
Kepler-29 c,0.11312557679914075,1102,Not Habitable
Qatar-4 b,0.02803,1385,Not Habitable
TOI-2529 b,0.327,636,Not Habitable
TOI-431 b,0.0113,1862,Not Habitable
TOI-4600 b,0.349,347,Not Habitable
TOI-5301 b,0.073,1648,Not Habitable
HD 183579 b,0.1322,752,Not Habitable
CoRoTID 223977153 b,0.071,938,Not Habitable
Kepler-100 d,0.11312557679914075,1102,Not Habitable
TOI-1422 b,0.108,867,Not Habitable
Kepler-538 b,0.3554,417,Not Habitable
TOI-1694 b,0.045,943,Not Habitable
TOI-1823 b,0.212,424,Not Habitable
KOI-94 d,0.1684,806,Not Habitable
Kepler-10 b,0.01685,2188,Not Habitable
Gaia-2 b,0.0467,1102,Not Habitable
K2-138 b,0.03385,1102,Not Habitable
TOI-1811 b,0.04389,962,Not Habitable
TOI-2019 b,0.128,917,Not Habitable
HD 88986 b,0.58,460,Not Habitable
HD 89345 b,0.1066,1089,Not Habitable
K2-110 b,0.10207,638,Not Habitable
K2-38 b,0.0503,1310,Not Habitable
HD 73344 b,0.131,911,Not Habitable
