Planet_Name,System_Distance_PC,Equilibrium_Temperature,System_Infrared_Magnitude
K2-290 c,272.909,676,9.42
KELT-2 A b,134.058,1102,7.346
Kepler-131 c,228.678,1102,10.079
Kepler-419 b,1011.36,1102,11.859
HATS-13 b,421.855,1244,11.983
HD 22946 d,62.7792,546,6.981
K2-263 b,162.481,470,9.748
KELT-10 b,188.404,1377,9.338
TOI-1472 b,121.84,811,9.277
TOI-411 b,62.7792,1241,6.981
Kepler-53 b,1366.07,1102,13.807
TOI-220 b,90.7402,805,8.542
HAT-P-27 b,199.173,1102,10.109
HATS-33 b,248.46,1429,10.287
HATS-6 b,169.318,713,11.224
K2-79 b,256.011,1022,9.907
Kepler-107 b,525.997,1592,11.06
TOI-4551 b,215.986,1102,7.524
TOI-4641 b,86.3501,1102,6.579
K2-29 b,178.475,1171,10.062
Lupus-TR-3 b,773.409,1102,15.068
HAT-P-49 b,350.351,1102,9.346
HATS-15 b,1139.55,1505,12.724
OGLE-TR-182 b,2501.75,1102,14.737
TOI-1634 b,35.2736,1102,8.6
TOI-431 b,32.5686,1862,6.723
TOI-4600 b,216.056,347,10.571
HATS-39 b,878.521,1645,11.518
HD 63935 b,48.9739,825,6.881
KOI-94 b,477.052,1486,10.926
Kepler-1661 b,410.607,243,12.162
Kepler-406 b,364.03,1102,10.97
Kepler-93 b,95.9115,1133,8.37
HATS-31 b,773.974,1823,11.572
TOI-1753 b,226.671,1005,10.175
HAT-P-44 b,347.85,1108,11.275
HAT-P-39 b,697.004,1752,11.157
HATS-53 b,585.77,1312,12.046
K2-291 b,90.0562,1102,8.353
Kepler-1876 b,259.935,1299,9.472
TOI-1130 c,58.2609,650,8.351
TOI-1439 b,230.306,748,9.053001
HAT-P-22 b,81.7647,1102,7.837
Kepler-1972 c,287.339,1102,9.792
TOI-1516 b,247.054,1102,9.669
Kepler-80 d,369.451,1102,12.253
HAT-P-17 b,92.3831,1102,8.544
HAT-P-30 b,213.985,1102,9.151
TOI-1249 b,139.49,727,9.126
TOI-1296 b,323.265,1415,9.742
TOI-1347 c,147.476,1000,9.616
TOI-1470 b,51.9503,734,9.283
HATS-34 b,508.842,1445,12.095
HD 235088 b,41.1706,754,7.084
Kepler-109 c,474.861,859,11.001
Kepler-26 c,335.307,1102,12.63
Kepler-57 b,644.14,1102,12.897
Kepler-177 b,1435.44,1102,13.421
LTT 1445 A c,6.86929,508,6.496
TOI-1670 b,168.067,1062,8.724
TOI-2589 b,200.273,592,9.632
TOI-3894 b,417.365,1531,10.479
K2-33 b,139.268,1102,10.026
TOI-4153 b,423.84,1669,10.296
TOI-5232 b,609.388,1772,10.857
Kepler-53 c,1366.07,1102,13.807
TOI-1468 c,24.7399,338,8.497
K2-138 e,202.585,1102,10.305
Kepler-307 c,575.581,1102,12.321
TOI-4379 b,645.158,1102,10.732
CoRoT-24 b,591.555,1070,12.924
HAT-P-29 b,313.576,1102,10.297
HAT-P-46 b,290.736,1458,9.924
Kepler-103 b,494.832,973,10.873
Kepler-60 c,1025.1,1102,12.516
TOI-1410.01,72.7512,1237,8.577
TOI-4406 b,261.834,904,9.73
GJ 9827 c,29.661,716,7.193
K2-10 b,272.36,1102,10.645
Kepler-15 b,739.412,1102,12.216
Kepler-412 b,1086.24,1850,12.837
Kepler-62 b,300.874,750,11.659
POTS-1 b,747.959,1102,14.244
CoRoT-5 b,882.472,1438,12.546
TOI-1194 b,149.667,1264,9.34
TOI-1408 c,139.484,1102,8.078
K2-180 b,203.896,798,10.677
TOI-2076 d,41.9091,458,7.115
GJ 9827 b,29.661,1035,7.193
K2-280 b,391.537,787,10.765
HAT-P-38 b,255.206,1082,10.501
Kepler-1705 b,1633.49,1102,13.735
HAT-P-34 b,249.325,1102,9.247
HAT-P-35 b,506.965,1102,11.03
HATS-27 b,816.988,1659,11.55
K2-233 d,67.5062,523,8.375
HATS-8 b,794.637,1324,12.661
TOI-2128 b,36.578,781,5.821
TOI-2141 b,77.682,722,7.87
TOI-260 b,20.1852,493,6.549
HD 6061 b,67.6203,1075,7.392
TOI-411 c,62.7792,931,6.981
HATS-10 b,534.889,1407,11.511
HATS-35 b,514.555,2037,11.118
HD 73344 b,35.26,911,5.567
Kepler-406 c,364.03,1102,10.97
TOI-1411 b,32.4778,976,7.25
HD 25463 b,45.6181,1198,5.706
HD 3167 c,47.2899,564,7.066
Kepler-105 b,459.223,1102,11.503
Kepler-56 c,912.994,1102,10.227
TOI-5786 b,192.475,1040,8.963
HD 110067 b,32.1585,800,6.492
K2-24 c,170.562,1102,9.18
Kepler-62 f,300.874,208,11.659
TOI-4329 b,717.128,1102,10.63
TOI-559 b,233.266,1180,9.638
HAT-P-66 b,935.456,1896,11.675
Kepler-27 b,1044.36,1102,14.118
GJ 143 b,16.32,422,5.375
HAT-P-8 b,211.553,1102,8.953
K2-19 b,289.827,1102,11.161
KELT-7 b,136.681,1102,7.543
TIC 46432937 b,90.5369,872,10.195
TOI-1823 b,71.6456,424,8.332
CoRoT-13 b,1148.93,1700,13.376
CoRoT-21 b,341.24317438112195,1102,13.813
Kepler-16 b,75.0852,1102,8.996
