Planet_Mass_Earth,Equilibrium_Temperature,ra
9.79,1038,194.468098
1093.3352,1102,243.9597194
274.276,670,349.6229547
170.99254,825,303.1667996
851.7844,1102,75.2996637
5.2,482,160.0658525
163.36462,1729,19.5505861
775.5052,1320,60.3855387
162.09249,1102,305.8724366
88.35674,1119,87.679561
9.32,800,194.468098
387.7526,1590,41.6391598
152.55,1285,1.0465696
254.264,1102,17.47474
344.52772,1642,171.8450533
47.03884,1479,311.673345
139.8452,1102,195.3597581
376.94638,1102,353.5629149
232.33373,2470,297.7909214
228.8376,1102,304.538843
568.9157,1480,305.2219454
479.9233,1742,0.325761
301.9385,1397,86.738228
404.263,1516,160.6023689
177.9848,1102,165.3993679
854.9627,1540,71.8244347
161.45764,1142,334.7969885
187.512,1387,315.4771912
425.8922,1160,357.846434
402.05495,1452,175.9080328
565.714,1102,154.9081869
87.40325,1404,359.1915117
791.3967,1557,126.3378248
473.547,2508,249.3148604
451.3186,1102,110.3880285
343.2564,1102,305.0957239
95.349,1120,190.1519558
85.8141,1460,210.1935714
293.03926,1171,58.4290113
1274.44,1500,293.9850284
231.69807,1623,304.2079924
167.49641,1021,192.981203
308.2951,1102,274.7012534
1541.4755,1880,62.6160813
149.3801,1740,199.433742
807.2882,1102,359.9008737
266.9772,1102,286.0408755
508.528,1422,135.4163028
6.27,789,206.8461979
209.13214,1624,357.5806472
95.03117,1186,26.7932253
355.9696,2000,293.7327826
314.6517,1571,166.3187996
466.8287,1395,43.6880738
204.68252,1338,223.8199788
10.0,1125,158.9007013
403.945,1689,101.1149223
165.2716,1102,87.1398205
73.1009,1102,357.8791976
677.61356,1053,31.9091639
