Planet_Name,Orbital_Eccentricity,Equilibrium_Temperature,Orbit_Type
CoRoT-22 b,0.077,885,Circular/Stable
GJ 143 b,0.188,422,Circular/Stable
HD 207897 b,0,582,Circular/Stable
Kepler-113 b,0.09342614,1102,Circular/Stable
NGTS-11 b,0.13,435,Circular/Stable
TOI-2109 b,0.09342614,3646,Circular/Stable
HAT-P-50 b,0.115,1862,Circular/Stable
KOI-3503 c,0.09342614,686,Circular/Stable
Kepler-30 d,0.022,1102,Circular/Stable
TOI-4379 b,0.018,1102,Circular/Stable
Kepler-11 e,0.012,1102,Circular/Stable
Kepler-87 b,0.036,478,Circular/Stable
K2-19 c,0.21,1102,Circular/Stable
KOI-1257 b,0.772,511,Highly Eccentric
TOI-1749 b,0.14,831,Circular/Stable
TOI-2145 b,0.21,1363,Circular/Stable
TOI-2152 A b,0.057,1802,Circular/Stable
HD 77946 b,0.211,1129,Circular/Stable
K2-32 b,0.03,837,Circular/Stable
KELT-16 b,0,2453,Circular/Stable
Kepler-1972 b,0.067,1102,Circular/Stable
NGTS-14 A b,0,1143,Circular/Stable
TOI-2525 c,0.157,1102,Circular/Stable
Kepler-53 c,0.09342614,1102,Circular/Stable
TOI-1670 c,0.09,684,Circular/Stable
TOI-178 d,0.09342614,690,Circular/Stable
TOI-1789 b,0.09342614,1927,Circular/Stable
TOI-421 b,0.13,922,Circular/Stable
CoRoT-28 b,0.047,1102,Circular/Stable
Kepler-1647 b,0.0581,1102,Circular/Stable
Kepler-76 b,0.09342614,2140,Circular/Stable
TOI-1439 b,0.157,748,Circular/Stable
HD 189733 b,0,1102,Circular/Stable
TOI-1386 b,0,615,Circular/Stable
TOI-2337 b,0.019,1102,Circular/Stable
TOI-2524 b,0,1100,Circular/Stable
K2-263 b,0.15,470,Circular/Stable
Kepler-38 b,0.032,475,Circular/Stable
HAT-P-36 b,0.09342614,1781,Circular/Stable
K2-295 b,0,852,Circular/Stable
Kepler-18 b,0,1102,Circular/Stable
Kepler-289 b,0.09342614,1102,Circular/Stable
Kepler-58 b,0.09342614,1102,Circular/Stable
TOI-178 c,0.09342614,873,Circular/Stable
TOI-2338 b,0.676,799,Highly Eccentric
CoRoT-10 b,0.53,600,Highly Eccentric
TOI-5232 b,0.035,1772,Circular/Stable
GJ 414 A c,0.105,125,Circular/Stable
HD 137496 b,0,2130,Circular/Stable
HAT-P-14 b,0.11,1102,Circular/Stable
HIP 8152 b,0,795,Circular/Stable
TOI-286 b,0,979,Circular/Stable
Gaia-1 b,0.09342614,1102,Circular/Stable
HD 21520 b,0,637,Circular/Stable
HD 63935 c,0,620,Circular/Stable
TOI-421 c,0.19,635,Circular/Stable
TIC 4672985 b,0.018,517,Circular/Stable
TOI-1794 b,0,993,Circular/Stable
TOI-286 c,0,475,Circular/Stable
TOI-332 b,0,1871,Circular/Stable
Kepler-100 b,0.09342614,1102,Circular/Stable
Kepler-432 b,0.5134,1102,Highly Eccentric
Kepler-57 b,0.0162,1102,Circular/Stable
TOI-4914 b,0.408,894,Highly Eccentric
EPIC 220674823 c,0.13,805,Circular/Stable
HAT-P-8 b,0,1102,Circular/Stable
HD 28109 c,0.1203,585,Circular/Stable
Kepler-11 d,0.004,1102,Circular/Stable
Kepler-24 b,0.023,1102,Circular/Stable
Kepler-409 b,0.69,438,Highly Eccentric
Kepler-79 b,0.015,1102,Circular/Stable
Qatar-8 b,0,1457,Circular/Stable
CoRoT-11 b,0,1657,Circular/Stable
K2-141 c,0.092,695,Circular/Stable
Kepler-95 b,0.09342614,1102,Circular/Stable
Qatar-1 b,0,1418,Circular/Stable
TOI-1408 c,0.1353,1102,Circular/Stable
TOI-2374 b,0.13,885,Circular/Stable
HAT-P-40 b,0,1102,Circular/Stable
KELT-8 b,0.04,1102,Circular/Stable
CoRoT-9 b,0.133,420,Circular/Stable
HATS-40 b,0.312,2101,Highly Eccentric
Kepler-1708 b,0.4,1102,Highly Eccentric
Kepler-52 c,0.09342614,1102,Circular/Stable
Kepler-62 f,0.09342614,208,Circular/Stable
TOI-3568 b,0.035,899,Circular/Stable
CoRoT-36 b,0,1567,Circular/Stable
HD 110067 b,0.09342614,800,Circular/Stable
HD 149026 b,0,1102,Circular/Stable
KOI-1783.01,0,1102,Circular/Stable
Kepler-106 d,0.09342614,1102,Circular/Stable
OGLE-TR-113 b,0.09342614,1102,Circular/Stable
HAT-P-23 b,0.106,2056,Circular/Stable
K2-138 c,0.045,1102,Circular/Stable
K2-19 b,0.2,1102,Circular/Stable
K2-199 c,0.03,694,Circular/Stable
Kepler-58 c,0.09342614,1102,Circular/Stable
HATS-35 b,0.306,2037,Highly Eccentric
Kepler-109 c,0.098,859,Circular/Stable
TOI-1199 b,0.03,1486,Circular/Stable
Kepler-453 b,0.0359,1102,Circular/Stable
TIC 237913194 b,0.575,974,Highly Eccentric
TOI-1516 b,0.09342614,1102,Circular/Stable
EPIC 246851721 b,0.09342614,1401,Circular/Stable
HATS-28 b,0.202,1253,Circular/Stable
OGLE-TR-56 b,0.09342614,2212,Circular/Stable
Kepler-454 b,0.32,916,Highly Eccentric
TIC 46432937 b,0.009,872,Circular/Stable
Kepler-32 b,0.09342614,1102,Circular/Stable
Kepler-8 b,0.09342614,1680,Circular/Stable
TOI-1259 A b,0,963,Circular/Stable
K2-32 c,0.049,634,Circular/Stable
TOI-2076 c,0,543,Circular/Stable
Kepler-26 b,0.09342614,1102,Circular/Stable
Kepler-4 b,0,1650,Circular/Stable
Lupus-TR-3 b,0,1102,Circular/Stable
CoRoT-18 b,0.08,1550,Circular/Stable
TOI-4600 c,0.21,191,Circular/Stable
TOI-5398 b,0.13,947,Circular/Stable
Kepler-36 c,0,1102,Circular/Stable
Kepler-40 b,0,1620,Circular/Stable
Kepler-427 b,0.57,1100,Highly Eccentric
Qatar-6 b,0,1006,Circular/Stable
TOI-1450 A b,0.09342614,722,Circular/Stable
Kepler-9 c,0.06691,1102,Circular/Stable
OGLE-TR-10 b,0.09342614,1102,Circular/Stable
CoRoT-6 b,0.1,1017,Circular/Stable
HATS-53 b,0.33,1312,Highly Eccentric
Kepler-7 b,0.09342614,1630,Circular/Stable
PH1 b,0.0702,481,Circular/Stable
TOI-1075 b,0,1323,Circular/Stable
HD 152843 c,0.115,1102,Circular/Stable
Kepler-1658 b,0.0628,1102,Circular/Stable
Kepler-75 b,0.57,767,Highly Eccentric
HAT-P-1 b,0.09342614,1322,Circular/Stable
HD 235088 b,0,754,Circular/Stable
HD 80606 b,0.93,1102,Highly Eccentric
Kepler-131 b,0.09342614,1102,Circular/Stable
Kepler-96 b,0.09342614,1102,Circular/Stable
K2-97 b,0.207,1566,Circular/Stable
Kepler-98 b,0.09342614,1102,Circular/Stable
TOI-1842 b,0.276,1200,Circular/Stable
EPIC 220674823 b,0,2300,Circular/Stable
NGTS-24 b,0,1499,Circular/Stable
TOI-4406 b,0.15,904,Circular/Stable
GJ 9827 d,0.09342614,675,Circular/Stable
K2-132 b,0.09342614,1102,Circular/Stable
K2-287 b,0.478,804,Highly Eccentric
Kepler-31 d,0.09342614,1102,Circular/Stable
TOI-2285 b,0.3,284,Circular/Stable
TOI-3894 b,0.05,1531,Circular/Stable
HAT-P-26 b,0.12,1102,Circular/Stable
HAT-P-20 b,0.015,970,Circular/Stable
HATS-13 b,0.181,1244,Circular/Stable
K2-36 b,0.093,1328,Circular/Stable
Kepler-10 c,0.13,578,Circular/Stable
Kepler-1513 b,0.306,1102,Highly Eccentric
Kepler-426 b,0.18,1300,Circular/Stable
NGTS-6 b,0,1284,Circular/Stable
HATS-42 b,0.229,1856,Circular/Stable
HATS-15 b,0.126,1505,Circular/Stable
Kepler-102 e,0.089,590,Circular/Stable
HAT-P-21 b,0.23,1102,Circular/Stable
K2-233 d,0.1999,523,Circular/Stable
NGTS-20 b,0.432,688,Highly Eccentric
HATS-6 b,0,713,Circular/Stable
K2-290 c,0,676,Circular/Stable
Kepler-129 b,0.09342614,1102,Circular/Stable
Kepler-1876 b,0.098,1299,Circular/Stable
Kepler-53 b,0.09342614,1102,Circular/Stable
