Star_Temperature_K,Star_Radius_Solar,Star_Mass_Solar
5868.0,1.0,0.97
5854.0,1.45,1.24
6041.0,1.42,1.32
4095.6,0.62,0.61
4600.0,0.7,0.7
5801.0,1.02,1.0
5631.0,1.32,0.97
6540.0,1.7,1.45
5720.0,1.06,1.0
5854.0,1.45,1.24
6004.0,1.12,1.01
4925.0,0.64,0.69
4174.0,0.62,0.57
6174.0,1.49,1.28
5766.0,1.08,1.67
5128.0,0.79,0.82
6200.0,2.75,1.72
4803.0,0.75,0.77
6040.0,1.55,1.41
5187.0,0.84,0.9
5980.0,1.78,1.47
3659.0,0.54,0.53
6351.0,1.4,1.21
4840.0,4.23,1.32
6210.0,1.32,1.3
5991.0,2.17,1.51
5738.0,1.24,0.97
6801.0,1.56,1.43
4309.0,0.7,0.72
4360.0,0.7,0.74
4914.0,0.75,0.8
6100.0,1.32,1.21
4673.0,4.14,1.17
5498.0,0.95,0.99
5905.0,1.26,1.04
5457.0,0.84,0.88
3496.0,0.34,0.34
5815.0,1.13,1.09
5825.0,1.49,1.08
3709.0,0.47,0.47
3185.0,0.28,0.26
5730.0,1.01,1.03
6255.0,1.53,1.35
4916.0,0.72,0.79
5830.0,0.96,1.01
5626.0,1.75,1.18
5970.0,0.79,1.08
4916.0,0.72,0.79
3421.0,0.37,0.35
6080.0,1.94,1.03
7175.0,1.43,1.46
6297.0,1.79,1.37
4316.0,0.65,0.65
5275.0,0.83,0.82
5943.0,1.06,1.09
4725.0,0.69,0.75
6050.0,1.1072227151730252,0.980177462289264
4500.0,0.68,0.74
5505.2,0.88,0.93
4120.0,0.68,0.65
5743.0,1.53,1.18
5520.0,1.13,0.99
6600.0,1.82,2.65
5576.0,1.75,1.16
5708.0,1.06,0.91
5663.0,1.06,0.96
5576.0,0.9,0.98
3950.0,0.58,0.59
5321.0,0.86,0.91
6000.0,1.05,1.15
5075.0,0.79,0.89
4803.0,0.69,0.76
6102.0,1.73,1.42
5872.0,1.67,1.3
6327.0,1.3,1.09
5649.0,0.96,0.94
5672.0,1.12,0.96
5979.0,1.63,1.03
4995.0,4.06,1.32
6933.0,1.53,1.52
5788.0,2.03,1.22
5322.0,0.82,0.88
4491.0,0.68,0.71
5979.0,1.63,1.03
6166.0,1.4,1.27
5356.3,0.86,0.94
3385.0,0.33,0.33
5421.0,0.9,0.91
5152.0,0.78,0.83
5106.0,0.78,0.82
5630.0,1.59,1.19
5977.0,1.38,1.2
5774.0,0.96,1.02
6274.0,1.93,1.46
5152.0,0.78,0.83
6110.0,1.65,1.29
5663.0,1.06,0.96
5378.0,0.73,0.76
3325.0,0.38,0.38
4985.0,0.81,0.85
5623.0,1.75,0.94
6007.0,1.27,1.15
5185.0,0.87,1.06
5715.0,1.11,0.99
5990.0,1.0,1.08
5950.0,1.17,1.14
3600.0,0.55,0.54
6395.0,2.05,1.51
5913.0,1.16,1.05
4925.0,0.64,0.69
5820.0,1.64,1.26
6216.0,2.89,1.45
6054.0,1.96,1.47
3506.0,0.38,0.39
3600.0,0.41,0.41
4413.0,0.67,0.68
6018.0,0.94,1.04
3437.0,0.48,0.48
4766.0,0.77,0.82
6241.0,1.61,1.25
5099.0,0.81,0.84
5271.0,0.86,0.83
5345.0,1.11,0.97
5560.0,0.95,0.85
6213.0,1.49,1.21
5600.0,1.82,1.1
6202.0,1.59,1.32
5233.0,0.83,0.9
6340.0,1.22,1.21
3506.0,0.38,0.39
5808.0,1.29,1.1
5690.0,1.02,1.0
4985.0,0.81,0.84
3863.0,0.55,0.56
5905.0,1.26,1.04
5747.0,1.08,1.13
6001.0,1.25,0.86
5708.0,1.06,0.91
6325.0,1.64,1.33
3985.0,0.55,0.58
5359.0,1.04,0.99
6280.0,1.4,1.23
6424.0,1.71,1.5
6260.0,1.52,1.25
5684.0,0.96,1.03
5802.0,1.7,1.11
6240.0,2.19,1.48
3746.0,0.55,0.55
5151.0,0.86,0.87
5271.0,0.86,0.83
6210.0,1.79,1.22
5145.0,0.77,0.86
5933.0,1.03,0.99
4095.6,0.62,0.61
6478.0,1.7,1.64
5636.0,1.43,1.04
