Discovery_Method,Discovery_Facility,Host_Star,Discovery_Year,orb_id,disc_id
Transit,Multiple Observatories,WASP-167,2017-01-01,2331,6989
Transit,Kepler,KOI-3503,2021-01-01,787,2357
Transit,HATSouth,HATS-39,2018-01-01,1647,4937
Transit,Qatar,Qatar-3,2017-01-01,1683,5045
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1260,2021-01-01,873,2615
Transit,HATNet,HAT-P-19,2010-01-01,983,2945
Transit,K2,K2-285,2018-01-01,1091,3269
Transit,Next-Generation Transit Survey (NGTS),NGTS-26,2024-01-01,1333,3995
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1601,2021-01-01,1496,4484
Transit,HATNet,HAT-P-65,2016-01-01,1820,5456
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-4201,2023-01-01,727,2177
Transit,K2,K2-27,2016-01-01,904,2708
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-544,2022-01-01,1001,2999
Transit,HATSouth,HATS-30,2016-01-01,1416,4244
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2015,2023-01-01,514,1538
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2379,2024-01-01,626,1874
Transit,Kepler,Kepler-80,2012-01-01,1104,3308
Transit,SuperWASP-South,WASP-172,2018-01-01,1742,5222
Transit,CoRoT,CoRoT-19,2011-01-01,2002,6002
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3023,2023-01-01,1598,4790
Transit,Kepler,PH1,2012-01-01,483,1445
Transit,SuperWASP-South,WASP-170,2018-01-01,1424,4268
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2583 A,2023-01-01,1458,4370
Transit,SuperWASP,WASP-183,2019-01-01,1113,3335
Transit,Qatar,Qatar-1,2010-01-01,1420,4256
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 63935,2021-01-01,827,2477
Transit,CoRoT,CoRoT-22,2014-01-01,887,2657
Transit,Haleakala Observatory,Wendelstein-2,2020-01-01,2472,7412
Transit,SuperWASP,WASP-59,2012-01-01,672,2012
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2236,2022-01-01,1690,5066
Transit,Kepler,Kepler-37,2013-01-01,617,1847
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-286,2024-01-01,477,1427
Transit,SuperWASP-South,WASP-140,2016-01-01,1322,3962
Transit,HATSouth,HATS-63,2018-01-01,1400,4196
Transit,HATNet,HAT-P-1,2006-01-01,1324,3968
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-669,2023-01-01,1127,3377
Transit,HATSouth,HATS-68,2018-01-01,1743,5225
Transit,K2,EPIC 201595106,2021-01-01,2040,6116
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-3714,2022-01-01,752,2252
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2158,2022-01-01,1190,3566
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2285,2021-01-01,286,854
Transit,Kepler,Kepler-538,2016-01-01,419,1253
Transit,Kepler,Kepler-102,2013-01-01,592,1772
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1249,2024-01-01,729,2183
Transit,Kepler,Kepler-109,2014-01-01,861,2579
Transit,HATSouth,HATS-43,2018-01-01,1005,3011
Transit,SuperWASP-South,WASP-168,2018-01-01,1342,4022
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2107,2024-01-01,1399,4193
Transit,HATNet,HAT-P-39,2012-01-01,1754,5258
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 260655,2022-01-01,559,1673
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-1062,2021-01-01,1079,3233
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2498,2023-01-01,1445,4331
Transit,Kepler,PH2,2013-01-01,297,887
Transit,Transiting Exoplanet Survey Satellite (TESS),HD 28109,2022-01-01,883,2645
Transit,K2,K2-232,2018-01-01,1032,3092
Transit,Transiting Exoplanet Survey Satellite (TESS),TIC 237913194,2020-01-01,976,2924
Transit,Next-Generation Transit Survey (NGTS),NGTS-10,2020-01-01,1334,3998
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-6651,2024-01-01,1495,4481
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2196,2022-01-01,1862,5582
Transit,Kepler,Kepler-553,2016-01-01,253,755
Transit,HATNet,HAT-P-63,2021-01-01,1239,3713
Transit,K2,HD 3167,2016-01-01,1776,5324
Transit,Transiting Exoplanet Survey Satellite (TESS),TOI-2134,2023-01-01,308,920
