Planet_Name,Semi_Major_Axis_AU,Equilibrium_Temperature,Habitable_Zone_Status
TOI-1470 c,0.106,373,Not Habitable
HD 73583 c,0.1242,498,Not Habitable
HATS-60 b,0.04708,1528,Not Habitable
Kepler-849 b,1.137,363,Not Habitable
L 98-59 d,0.0486,416,Not Habitable
HD 110067 f,0.2163,489,Not Habitable
KOI-1833 d,0.11312557679914083,613,Not Habitable
HD 260655 b,0.02933,709,Not Habitable
NGTS-12 b,0.0757,1257,Not Habitable
TOI-1439 b,0.192,748,Not Habitable
K2-12 b,0.0792,1026,Not Habitable
HAT-P-44 b,0.0507,1108,Not Habitable
Wendelstein-1 b,0.0282,2198,Not Habitable
TOI-1273 b,0.0549,1211,Not Habitable
EPIC 249893012 c,0.13,990,Not Habitable
TOI-2095 b,0.101,347,Not Habitable
TOI-5688 A b,0.03379,742,Not Habitable
TOI-3568 b,0.0485,899,Not Habitable
TOI-1288 b,0.0374,1203,Not Habitable
CoRoT-5 b,0.04947,1438,Not Habitable
GJ 414 A b,0.2324,309,Not Habitable
HATS-22 b,0.05025,858,Not Habitable
WASP-89 b,0.0427,1120,Not Habitable
HAT-P-51 b,0.05042,1168,Not Habitable
WASP-44 b,0.03453,1337,Not Habitable
CoRoT-23 b,0.048,1660,Not Habitable
TOI-1260 d,0.1116,499,Not Habitable
GJ 3470 b,0.0355,594,Not Habitable
Kepler-1655 b,0.1029,938,Not Habitable
Gliese 12 b,0.0668,315,Not Habitable
TOI-1064 c,0.09429,634,Not Habitable
HD 21749 c,0.0695,701,Not Habitable
K2-287 b,0.1206,804,Not Habitable
TOI-4791 b,0.0555,1472,Not Habitable
CoRoT-18 b,0.0295,1550,Not Habitable
WASP-161 b,0.0673,1557,Not Habitable
TOI-1669 c,0.0376,1285,Not Habitable
K2-98 b,0.0986,1185,Not Habitable
TOI-1294 b,0.051,1393,Not Habitable
TOI-270 c,0.04526,488,Not Habitable
GJ 3090 b,0.03165,693,Not Habitable
TOI-5786 b,0.114,1040,Not Habitable
HAT-P-59 b,0.05064,1278,Not Habitable
HD 110067 e,0.1785,533,Not Habitable
HATS-37 A b,0.04913,1085,Not Habitable
HATS-71 b,0.03745,587,Not Habitable
WASP-139 b,0.062,910,Not Habitable
HATS-25 b,0.05163,1277,Not Habitable
TOI-2567 b,0.0672,1352,Not Habitable
LTT 3780 c,0.0757,359,Not Habitable
TOI-2447 b,0.347,414,Not Habitable
HD 219134 b,0.03876,1015,Not Habitable
Kepler-4 b,0.0456,1650,Not Habitable
TOI-1246 d,0.132,588,Not Habitable
NGTS-15 b,0.0441,1146,Not Habitable
Kepler-20 f,0.1387,681,Not Habitable
HIP 116454 b,0.0792,753,Not Habitable
HATS-65 b,0.04497,1634,Not Habitable
WASP-103 b,0.01985,2508,Not Habitable
TOI-2207 b,0.0854,1259,Not Habitable
HATS-10 b,0.04491,1407,Not Habitable
TOI-2458 b,0.0482,1509,Not Habitable
HAT-P-4 b,0.04438,1686,Not Habitable
Kepler-78 b,0.00901,2223,Not Habitable
TOI-406.01,0.0809,368,Not Habitable
TOI-2416 b,0.0831,1080,Not Habitable
HIP 29442 c,0.04518,1123,Not Habitable
WASP-5 b,0.0267,1706,Not Habitable
HD 5278 b,0.1202,943,Not Habitable
NGTS-5 b,0.0382,952,Not Habitable
WASP-20 b,0.06,1379,Not Habitable
Qatar-4 b,0.02803,1385,Not Habitable
TOI-815 c,0.193,469,Not Habitable
TIC 4672985 b,0.33,517,Not Habitable
K2-417 b,0.063,558,Not Habitable
TOI-815 b,0.0903,686,Not Habitable
HATS-28 b,0.04131,1253,Not Habitable
HATS-38 b,0.05036,1294,Not Habitable
TOI-1468 c,0.11312557679914083,338,Not Habitable
HD 207496 b,0.0629,743,Not Habitable
K2-295 b,0.0451,852,Not Habitable
NGTS-16 b,0.0523,1177,Not Habitable
KELT-23 A b,0.03302,1561,Not Habitable
Kepler-51 d,0.509,381,Not Habitable
Kepler-68 c,0.09008,1052,Not Habitable
HATS-41 b,0.0583,1710,Not Habitable
EPIC 249893012 b,0.047,1616,Not Habitable
HATS-72 b,0.066517,739,Not Habitable
HATS-77 b,0.03607,828,Not Habitable
Kepler-8 b,0.0474,1680,Not Habitable
HIP 9618 c,0.269,470,Not Habitable
HD 77946 b,0.073,1129,Not Habitable
Kepler-77 b,0.04501,1440,Not Habitable
WASP-165 b,0.04823,1624,Not Habitable
WASP-118 b,0.05453,1729,Not Habitable
HATS-42 b,0.03689,1856,Not Habitable
TOI-1823 b,0.212,424,Not Habitable
TOI-5293 A b,0.034,675,Not Habitable
HATS-75 b,0.032742,772,Not Habitable
TOI-2000 b,0.04271,1488,Not Habitable
HAT-P-60 b,0.06277,1772,Not Habitable
TOI-558 b,0.1291,1061,Not Habitable
WASP-46 b,0.02335,1636,Not Habitable
TOI-2076 d,0.199,458,Not Habitable
TOI-1173 b,0.0696,868,Not Habitable
TOI-125 d,0.137,638,Not Habitable
K2-290 b,0.0923,1230,Not Habitable
WASP-156 b,0.0458,934,Not Habitable
