Planet_Name,Host_Star,Discovery_Method,Discovery_Year,Discovery_Facility,Reference_Name,Orbital_Period_Days,Orbital_Period_Error_Upper,Orbital_Period_Error_Lower,Semi_Major_Axis_AU,Planet_Radius_Earth,pl_radj,Planet_Mass_Earth,pl_bmassj,pl_bmassprov,Orbital_Eccentricity,Equilibrium_Temperature,UEB_temp,LEB_temp,pl_eqtlim,ttv_flag,st_refname,st_spectype,Star_Temperature_K,Star_UEBTemp,st_tefferr2,st_tefflim,Star_Radius_Solar,Star_Mass_Solar,Star_Metallicity,Star_Surface_Gravity,sy_refname,rastr,ra,dec,System_Distance_PC,System_Visual_Magnitude,System_Infrared_Magnitude,Discovery_Date,Discovery_Method_Index,Discovery_Facility_Index
Kepler-111 c,Kepler-111,Transit,2014,Kepler,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,224.77833,2.6E-4,-2.6E-4,0.751,7.084,0.632,222.47988,0.7,Mass,0.176,352,6,-6,0,1,<a refstr=DALBA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..271...16D/abstract target=ref>Dalba et al. 2024</a>,Unknown,5914.0,81.0,-82.0,0,1.15,1.12,0.237,4.37,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h26m36.76s,291.653163,44.6882613,657.223,13.543,12.11,2014-01-01,0.0,1.0
TOI-5218 b,TOI-5218,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>,4.291452,4.0E-6,-4.0E-6,0.0469,9.86,0.879,657.0,2.06715,Mass,0.0,783,21,-21,0,0,<a refstr=KANODIA_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240814694K/abstract target=ref>Kanodia et al. 2024</a>,Unknown,4230.0,88.0,-88.0,0,0.71,0.74,0.41,4.63,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m39.23s,292.6634642,71.7629612,377.483,16.044,12.546,2024-01-01,0.0,0.0
TOI-5688 A b,TOI-5688 A,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=REJI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240901371R/abstract target=ref>Reji et al. 2024</a>,2.94815527,4.52E-6,-4.48E-6,0.03379,10.3,0.92,124.0,0.39,Mass,0.128,742,18,-18,0,0,<a refstr=REJI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240901371R/abstract target=ref>Reji et al. 2024</a>,Unknown,3713.0,59.0,-59.0,0,0.57,0.6,0.47,4.69,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,17h47m41.54s,266.9231001,47.7050486,226.318,15.78,11.959,2024-01-01,0.0,0.0
Kepler-138 c,Kepler-138,Transit,2014,Kepler,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,13.7815,7.0E-5,-9.0E-5,0.0913,1.51,0.135,2.3,0.00724,Mass,0.017,410,8,-8,0,1,<a refstr=PIAULET_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022NatAs.tmp..269P/abstract target=ref>Piaulet et al. 2022</a>,Unknown,3841.0,50.0,-51.0,0,0.54,0.54,-0.18,4.71,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h21m31.54s,290.3814122,43.2930645,66.8624,13.04,9.506,2014-01-01,0.0,1.0
TOI-125 d,TOI-125,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,19.98,0.005,-0.0056,0.137,2.93,0.261,13.6,0.04279,Mass,0.168,638,7,-7,0,0,<a refstr=NIELSEN_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.492.5399N/abstract target=ref>Nielsen et al. 2020</a>,K0 V,5320.0,39.0,-39.0,0,0.85,0.86,-0.02,4.52,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h34m22.42s,23.5934253,-66.6763495,111.059,11.023,8.995,2020-01-01,0.0,0.0
TOI-815 c,TOI-815,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=PSARIDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A...5P/abstract target=ref>Psaridi et al. 2024</a>,34.976145,9.9E-5,-9.7E-5,0.193,2.62,0.234,23.5,0.07394,Mass,0.22,469,9,-9,0,0,<a refstr=PSARIDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A...5P/abstract target=ref>Psaridi et al. 2024</a>,K3 V,4869.0,77.0,-77.0,0,0.77,0.78,-0.09,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m29.27s,155.8719377,-43.8349248,59.7117,10.217,7.999,2024-01-01,0.0,0.0
TOI-815 b,TOI-815,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=PSARIDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A...5P/abstract target=ref>Psaridi et al. 2024</a>,11.197259,1.8E-5,-1.7E-5,0.0903,2.94,0.262,7.6,0.02391,Mass,0.2,686,13,-14,0,0,<a refstr=PSARIDI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...685A...5P/abstract target=ref>Psaridi et al. 2024</a>,K3 V,4869.0,77.0,-77.0,0,0.77,0.78,-0.09,4.51,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h23m29.27s,155.8719377,-43.8349248,59.7117,10.217,7.999,2024-01-01,0.0,0.0
TOI-836 c,TOI-836,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..458H/abstract target=ref>Hawthorn et al. 2023</a>,8.59545,1.0E-5,-1.0E-5,0.075,2.587,0.231,9.6,0.0302,Mass,0.078,665,27,-27,0,1,<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..458H/abstract target=ref>Hawthorn et al. 2023</a>,K V,4552.0,154.0,-154.0,0,0.67,0.68,-0.284,4.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h00m19.17s,225.0798831,-24.4542022,27.5024,9.92,6.804,2023-01-01,0.0,0.0
WASP-166 b,WASP-166,Transit,2019,WASP-South,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,5.44354,4.0E-6,-4.0E-6,0.0641,7.062,0.63,32.10083,0.101,Mass,0.0,1270,30,-30,0,0,<a refstr=HELLIER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019MNRAS.488.3067H/abstract target=ref>Hellier et al. 2019</a>,F9 V,6050.0,50.0,-50.0,0,1.22,1.19,0.19,4.34,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h39m30.03s,144.8751047,-20.9824191,114.173,9.351,8.032,2019-01-01,0.0,10.0
WASP-132 c,WASP-132,Transit,2022,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GRIEVES_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.144G/abstract target=ref>Grieves et al. 2025</a>,1.01153624,9.3E-7,-8.6E-7,0.01833,1.841,0.164,6.26,0.0197,Mass,0.0,1329,123,-173,0,0,<a refstr=GRIEVES_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.144G/abstract target=ref>Grieves et al. 2025</a>,K4 V,4686.0,99.0,-99.0,0,0.76,0.79,0.15,4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h30m26.21s,217.6091998,-46.159516,122.91,11.938,9.674,2022-01-01,0.0,0.0
TOI-908 b,TOI-908,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1796H/abstract target=ref>Hawthorn et al. 2023</a>,3.183792,7.0E-6,-7.0E-6,0.041657,3.186,0.284,16.137,0.05077,Mass,0.132,1317,38,-38,0,0,<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp.1796H/abstract target=ref>Hawthorn et al. 2023</a>,G V,5626.0,61.0,-61.0,0,1.03,0.95,0.08,4.45,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h32m38.26s,53.1594266,-81.250745,175.748,11.316,9.637,2023-01-01,0.0,0.0
TOI-954 b,TOI-954,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,3.6849729,2.7E-6,-2.8E-6,0.04963,9.55,0.852,55.30242,0.174,Mass,0.14,1526,123,-164,0,0,<a refstr=SHA_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....161...82S/abstract target=ref>Sha et al. 2021</a>,Unknown,5710.0,53.0,-49.0,0,1.89,1.2,0.215,3.96,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h07m45.85s,61.9410587,-25.2088028,238.768,10.343,8.779,2020-01-01,0.0,0.0
TOI-674 b,TOI-674,Transit,2021,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MURGAS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..60M/abstract target=ref>Murgas et al. 2021</a>,1.977143,3.0E-6,-3.0E-6,0.025,5.25,0.468,23.6,0.07425,Mass,0.0,635,15,-15,0,0,<a refstr=MURGAS_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021A&A...653A..60M/abstract target=ref>Murgas et al. 2021</a>,M2 V,3514.0,57.0,-57.0,0,0.42,0.42,0.17,4.81,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h58m20.77s,164.5865592,-36.8581092,46.0851,14.203,9.469,2021-01-01,0.0,0.0
TOI-6651 b,TOI-6651,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=BALIWAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...691A..12B/abstract target=ref>Baliwal et al. 2024</a>,5.056973,1.6E-5,-1.8E-5,0.0633,5.09,0.454,61.0,0.19193,Mass,0.091,1493,14,-15,0,0,<a refstr=BALIWAL_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024A&A...691A..12B/abstract target=ref>Baliwal et al. 2024</a>,Unknown,5940.0,110.0,-110.0,0,1.72,1.32,0.225,4.09,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m09.26s,15.7885904,35.3890405,212.128,10.242,8.684,2024-01-01,0.0,0.0
WASP-174 b,WASP-174,Transit,2018,SuperWASP-South,<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>,4.2337005,1.8E-6,-1.8E-6,0.05503,16.107,1.437,104.88337,0.33,Mass,0.0,1528,17,-17,0,0,<a refstr=MANCINI_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...633A..30M/abstract target=ref>Mancini et al. 2020</a>,Unknown,6399.0,68.0,-68.0,0,1.35,1.24,0.06,4.27,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13h03m10.56s,195.7940145,-41.3848617,410.149,11.803,10.579,2018-01-01,0.0,7.0
TOI-905 b,TOI-905,Transit,2020,Transiting Exoplanet Survey Satellite (TESS),<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,3.739494,3.8E-5,-3.8E-5,0.04666,13.126,1.171,211.99261,0.667,Mass,0.024,1192,39,-36,0,0,<a refstr=DAVIS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160..229D/abstract target=ref>Davis et al. 2020</a>,Unknown,5570.0,150.0,-140.0,0,0.92,0.97,0.14,4.5,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h10m38.08s,227.6586754,-71.3616316,158.649,11.08,9.448,2020-01-01,0.0,0.0
TOI-858 B b,TOI-858 B,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HAGELBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230911390H/abstract target=ref>Hagelberg et al. 2023</a>,3.2797178,1.4E-6,-1.4E-6,0.04435,14.067,1.255,349.61125,1.1,Mass,0.15,1529,23,-22,0,0,<a refstr=HAGELBERG_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230911390H/abstract target=ref>Hagelberg et al. 2023</a>,G0,5842.0,84.0,-79.0,0,1.31,1.08,0.153,4.24,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h00m47.96s,60.1998256,-54.5929177,250.489,11.183,9.722,2023-01-01,0.0,0.0
WASP-193 b,WASP-193,Transit,2023,WASP-South,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230708350B/abstract target=ref>Barkaoui et al. 2023</a>,6.2463345,3.0E-7,-3.0E-7,0.0676,16.41,1.464,44.17815,0.139,Mass,0.056,1254,31,-31,0,0,<a refstr=BARKAOUI_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230708350B/abstract target=ref>Barkaoui et al. 2023</a>,F9,6078.0,120.0,-120.0,0,1.24,1.06,-0.06,4.28,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h57m23.79s,164.3491401,-29.9971229,362.087,11.972,10.745,2023-01-01,0.0,10.0
WASP-77 A b,WASP-77 A,Transit,2012,SuperWASP,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,1.36002854,6.2E-7,-6.2E-7,0.02335,13.787,1.23,529.81995,1.667,Mass,0.0074,1715,26,-25,0,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,Unknown,5617.0,72.0,-72.0,0,0.91,0.9,-0.1,4.48,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h28m37.33s,37.1555223,-7.0606675,105.166,10.294,8.405,2012-01-01,0.0,3.0
TOI-836 b,TOI-836,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..458H/abstract target=ref>Hawthorn et al. 2023</a>,3.81673,1.0E-5,-1.0E-5,0.0422,1.704,0.152,4.53,0.01425,Mass,0.053,871,36,-36,0,0,<a refstr=HAWTHORN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023MNRAS.tmp..458H/abstract target=ref>Hawthorn et al. 2023</a>,K V,4552.0,154.0,-154.0,0,0.67,0.68,-0.284,4.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h00m19.17s,225.0798831,-24.4542022,27.5024,9.92,6.804,2023-01-01,0.0,0.0
XO-7 b,XO-7,Transit,2019,XO,<a refstr=CROUZET_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...44C/abstract target=ref>Crouzet et al. 2020</a>,2.8641424,4.3E-6,-4.3E-6,0.04421,15.39,1.373,225.34147,0.709,Mass,0.038,1743,23,-23,0,0,<a refstr=CROUZET_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159...44C/abstract target=ref>Crouzet et al. 2020</a>,G0 V,6250.0,100.0,-100.0,0,1.48,1.41,0.432,4.25,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h29m54.74s,277.4780753,85.2333208,234.149,10.521,9.241,2019-01-01,0.0,18.0
WASP-153 b,WASP-153,Transit,2017,SuperWASP,<a refstr=DEMANGEON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A..63D/abstract target=ref>Demangeon et al. 2018</a>,3.332609,2.0E-6,-2.0E-6,0.048,17.374,1.55,123.9537,0.39,Mass,0.009,1700,40,-40,0,0,<a refstr=DEMANGEON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...610A..63D/abstract target=ref>Demangeon et al. 2018</a>,G0,5914.0,64.0,-64.0,0,1.73,1.34,0.34,4.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h37m02.99s,279.2624729,40.0186905,610.176,12.591,11.051,2017-01-01,0.0,3.0
WASP-19 b,WASP-19,Transit,2009,SuperWASP,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,0.78883852,7.5E-7,-8.2E-7,0.01652,15.861,1.415,366.77398,1.154,Mass,0.0126,2113,29,-29,0,0,<a refstr=CORT_EACUTE_S_ZULETA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...636A..98C/abstract target=ref>Cort&eacute;s-Zuleta et al. 2020</a>,Unknown,5616.0,66.0,-65.0,0,1.01,0.96,0.04,4.42,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h53m40.02s,148.4167672,-45.6591078,268.325,12.248,10.481,2009-01-01,0.0,3.0
TOI-782 b,TOI-782,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,8.0240015,7.7E-6,-7.2E-6,0.0578,2.734,0.244,19.1,0.0601,Mass,0.19,435,6,-6,0,0,<a refstr=HORI_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240512637H/abstract target=ref>Hori et al. 2024</a>,Unknown,3370.0,29.0,-32.0,0,0.41,0.4,0.34,4.8,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m40.89s,183.9203614,-18.9103377,52.5122,14.83,9.86,2024-01-01,0.0,0.0
TOI-733 b,TOI-733,Transit,2023,Transiting Exoplanet Survey Satellite (TESS),<a refstr=GEORGIEVA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230406655G/abstract target=ref>Georgieva et al. 2023</a>,4.884765,1.9E-5,-2.4E-5,0.0618,1.992,0.178,5.72,0.018,Mass,0.046,1056,36,-31,0,0,<a refstr=GEORGIEVA_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230406655G/abstract target=ref>Georgieva et al. 2023</a>,G,5585.0,60.0,-60.0,0,0.95,0.96,-0.04,4.47,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10h37m38.24s,159.4093183,-40.888259,75.2092,9.44,7.845,2023-01-01,0.0,0.0
Wolf 327 b,Wolf 327,Transit,2024,Transiting Exoplanet Survey Satellite (TESS),<a refstr=MURGAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240112150M/abstract target=ref>Murgas et al. 2024</a>,0.5734745,3.0E-7,-3.0E-7,0.01,1.24,0.111,2.53,0.00796,Mass,0.0,996,22,-22,0,0,<a refstr=MURGAS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024arXiv240112150M/abstract target=ref>Murgas et al. 2024</a>,M2.5 V,3542.0,70.0,-70.0,0,0.41,0.41,-0.17,4.87,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,09h53m30.80s,148.3783199,35.570548,28.5321,13.018,8.435,2024-01-01,0.0,0.0
WASP-132 b,WASP-132,Transit,2016,SuperWASP-South,<a refstr=GRIEVES_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.144G/abstract target=ref>Grieves et al. 2025</a>,7.1335164,1.9E-6,-1.9E-6,0.0674,10.099,0.901,136.03056,0.428,Mass,0.0163,682,75,-114,0,0,<a refstr=GRIEVES_ET_AL__2025 href=https://ui.adsabs.harvard.edu/abs/2025A&A...693A.144G/abstract target=ref>Grieves et al. 2025</a>,K4 V,4686.0,99.0,-99.0,0,0.76,0.79,0.15,4.56,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14h30m26.21s,217.6091998,-46.159516,122.91,11.938,9.674,2016-01-01,0.0,7.0
CoRoT-23 b,CoRoT-23,Transit,2011,CoRoT,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,3.6313,1.0E-4,-1.0E-4,0.048,11.77,1.05,889.9,2.8,Mass,0.16,1660,28,-27,0,0,<a refstr=ROUAN_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012A%26A...537A..54R/abstract target=ref> Rouan et al. 2012 </a>,G0 V,5900.0,100.0,-100.0,0,1.61,1.14,0.05,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,18h39m07.84s,279.7826586,4.3577516,1060.97,15.675,12.364,2011-01-01,0.0,6.0
Kepler-52 b,Kepler-52,Transit,2012,Kepler,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,7.8773565,3.8E-5,-3.8E-5,0.11454987782805433,2.1,0.187,135.0,0.42476,Mass,0.09335043219404639,1100,28,-27,0,1,<a refstr=STEFFEN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1077S/abstract target=ref> Steffen et al. 2013 </a>,Unknown,4075.0,80.55244801512288,-79.56300672430355,0,0.52,0.54,0.060960566228513584,4.74,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h06m57.12s,286.7380152,49.9757383,321.542,15.513,12.36,2012-01-01,0.0,1.0
CoRoT-4 b,CoRoT-4,Transit,2008,CoRoT,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,9.20205,3.7E-4,-3.7E-4,0.09,13.34,1.19,228.83,0.72,Mass,0.0,1074,19,-19,0,0,<a refstr=MOUTOU_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...488L..47M/abstract target=ref> Moutou et al. 2008 </a>,Unknown,6190.0,60.0,-60.0,0,1.17,1.16,0.060960566228513584,4.41,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,06h48m46.71s,102.1946233,-0.6727861,726.412,13.652,12.288,2008-01-01,0.0,6.0
K2-233 c,K2-233,Transit,2018,K2,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,7.06005,2.4E-4,-2.7E-4,0.06666,1.281,0.114,12.81,0.0403,Mass,0.2002,790,7,-6,0,0,<a refstr=LILLO_BOX_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020A&A...640A..48L/abstract target=ref>Lillo-Box et al. 2020</a>,Unknown,5033.0,41.0,-35.0,0,0.71,0.79,-0.09,4.64,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,15h21m55.18s,230.4799011,-20.2317975,67.5062,10.883,8.375,2018-01-01,0.0,2.0
KOI-1783.02,KOI-1783,Transit,2020,Kepler,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,284.215,0.026,-0.021,0.11454987782805433,5.44,0.485,15.0,0.0472,Mass,0.0,1100,28,-27,0,1,<a refstr=VISSAPRAGADA_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....159..108V/abstract target=ref>Vissapragada et al. 2020</a>,Unknown,5922.0,60.0,-60.0,0,1.14,1.08,0.11,4.3,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h17m21.95s,289.3414629,46.988155,865.73,13.978,12.621,2020-01-01,0.0,1.0
