Insolation_Flux,temperature,mass,ra,dec
1.01,279,9.1,289.2172051,47.8841427
486.9533952254641,688,947.12865,46.2926368,-21.9336472
486.9533952254641,470,3.94,7.3020115,-30.4541159
91.0,859,8.2,290.3926795,40.2849074
55.9,1102,5.0,298.348382,47.4913021
486.9533952254641,513,20.0,47.3841872,-34.1984808
39.2,696,2.77,191.981531,9.7494181
486.9533952254641,1659,168.4499,193.5524603,-46.5877159
633.0,1102,6.49,76.44594,21.548199
519.0,1328,4.3,169.4490102,3.8665038
486.9533952254641,1102,5.6,287.8872376,46.2761224
486.9533952254641,1357,750.07504,311.2583112,-35.4278412
26.7,638,13.6,23.5934253,-66.6763495
486.9533952254641,1070,5.7,101.922543,-3.7192892
486.9533952254641,1102,279.6904,33.1310921,51.7787754
486.9533952254641,1102,359.1479,300.1821223,22.7097759
42.2,709,2.14,99.2915429,17.5662696
486.9533952254641,1513,51.1,283.255507,48.3552474
486.9533952254641,134,321.00669,292.6585253,38.3455558
486.9533952254641,1102,36.0,290.4617926,40.5624966
486.9533952254641,615,45.8,334.5041029,54.3190454
1.4,306,41.89,271.9355015,39.0729269
1138.0,1617,1.42,106.559098,-47.5878156
229.7,1085,31.46517,199.80183,-22.9868431
486.9533952254641,470,7.0,30.9050061,21.2813274
486.9533952254641,966,20.97667,130.180046,10.9829509
840.0,1372,21.3,331.5266563,-10.7115362
486.9533952254641,2140,638.8383,294.1921185,39.6189727
883.0,1517,3.48,216.9234892,41.9529862
154.0,981,88.03847,9.5165832,34.7114025
16.9,564,11.13,8.7401487,4.3807215
5.71,430,13.4,287.6979913,42.3385782
486.9533952254641,1650,24.472,285.6154492,50.1357712
486.9533952254641,1211,70.55791,214.1208564,58.3902534
1.8,326,4.82,290.1739741,73.1951082
486.9533952254641,506,5.681,65.2383065,-68.1026875
486.9533952254641,1102,2.9,297.1150949,41.9091092
486.9533952254641,1102,5.0,284.7862158,48.4232622
486.9533952254641,708,96.0,150.1151015,39.4577506
486.9533952254641,1823,279.6904,191.7028214,-24.4273897
486.9533952254641,754,4.2,300.6154535,53.3774418
486.9533952254641,1102,3.1,348.9490311,-10.8497391
486.9533952254641,1102,10.44,300.864006,44.3375497
486.9533952254641,1850,299.07803,286.1103053,43.6809612
1084.0,1596,197.05361,165.3158231,-72.3567044
486.9533952254641,1102,3.7,297.4653351,42.8828517
