radius,mass,temperature,Discovery_Method,Discovery_Method_Index,features,rawPrediction,probability,prediction
13.529,305.1168,1398,Transit,0.0,"[13.529,305.1168,1398.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.45,7.8,943,Transit,0.0,"[2.45,7.8,943.0]","[9.848192039285397,0.132264728447001,0.008163192345413533,0.011380039922187342]","[0.9848192039285397,0.0132264728447001,0.0008163192345413533,0.001138003992218734]",0.0
2.469,9.7,753,Transit,0.0,"[2.469,9.7,753.0]","[9.770626425300351,0.2109613269954871,0.011705104978235256,0.006707142725925661]","[0.9770626425300352,0.021096132699548707,0.0011705104978235255,0.0006707142725925661]",0.0
1.51,4.97,2103,Transit,0.0,"[1.51,4.97,2103.0]","[8.140636690449206,1.851408136643373,0.002188183807439825,0.005766989099981594]","[0.8140636690449204,0.18514081366433727,0.00021881838074398245,0.0005766989099981593]",0.0
15.681,215.80657,1377,Transit,0.0,"[15.681,215.80657,1377.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
9.98,327.35,1102,Transit,0.0,"[9.98,327.35,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
6.11,120.0,1102,Transit,0.0,"[6.11,120.0,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
3.42,13.0,1102,Transit,0.0,"[3.42,13.0,1102.0]","[9.834024388754111,0.14289046634546615,0.011705104978235256,0.011380039922187342]","[0.9834024388754111,0.014289046634546615,0.0011705104978235255,0.001138003992218734]",0.0
15.098,1595.4986,3646,Transit,0.0,"[15.098,1595.4986,3646.0]","[9.078271437169288,0.10741388492719557,0.8119047965261122,0.0024098813774041227]","[0.9078271437169286,0.010741388492719555,0.08119047965261121,0.00024098813774041223]",0.0
1.52,2.68,458,Transit,0.0,"[1.52,2.68,458.0]","[9.700688893960288,0.2993111060397123,0.0,0.0]","[0.9700688893960289,0.029931110603971228,0.0,0.0]",0.0
12.274,55.61997,1295,Transit,0.0,"[12.274,55.61997,1295.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
5.09,14.1,635,Transit,0.0,"[5.09,14.1,635.0]","[9.82337668590389,0.16412492105047813,0.008201131697111222,0.004297261348521537]","[0.982337668590389,0.01641249210504781,0.0008201131697111221,0.0004297261348521537]",0.0
7.16,6.0,1102,Transit,0.0,"[7.16,6.0,1102.0]","[9.848192039285397,0.132264728447001,0.008163192345413533,0.011380039922187342]","[0.9848192039285397,0.0132264728447001,0.0008163192345413533,0.001138003992218734]",0.0
10.514,75.96099,1486,Transit,0.0,"[10.514,75.96099,1486.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
12.173,251.40353,1715,Transit,0.0,"[12.173,251.40353,1715.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
8.295,120.7754,1102,Radial Velocity,1.0,"[8.295,120.7754,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
8.14,81.7,1038,Transit,0.0,"[8.14,81.7,1038.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
11.209,1900.61387,799,Transit,0.0,"[11.209,1900.61387,799.0]","[9.831656369078761,0.15402895301772168,0.011904796526112196,0.0024098813774041227]","[0.9831656369078761,0.015402895301772168,0.0011904796526112196,0.00024098813774041226]",0.0
11.882,1036.12061,906,Transit,0.0,"[11.882,1036.12061,906.0]","[9.868889710450034,0.11366081540820479,0.01503959276435671,0.0024098813774041227]","[0.9868889710450034,0.011366081540820479,0.001503959276435671,0.00024098813774041226]",0.0
2.951,19.5,652,Transit,0.0,"[2.951,19.5,652.0]","[9.79742773994444,0.18430749182431327,0.012651717409039946,0.0056130508222057484]","[0.9797427739944441,0.018430749182431327,0.0012651717409039947,0.0005613050822205749]",0.0
12.87,227.0,894,Transit,0.0,"[12.87,227.0,894.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
9.073,74.1,798,Transit,0.0,"[9.073,74.1,798.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.39,9.7,498,Transit,0.0,"[2.39,9.7,498.0]","[9.627722810929107,0.3597787960252598,0.008201131697111222,0.004297261348521537]","[0.9627722810929107,0.03597787960252598,0.0008201131697111221,0.0004297261348521537]",0.0
17.486,616.5902,1102,Transit,0.0,"[17.486,616.5902,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.17,4.7,590,Transit,0.0,"[2.17,4.7,590.0]","[9.414954915898509,0.5819869801259565,0.0,0.0030581039755351682]","[0.9414954915898509,0.058198698012595654,0.0,0.0003058103975535168]",0.0
7.541,67.4,424,Transit,0.0,"[7.541,67.4,424.0]","[9.530308535475724,0.46051433560708077,0.00917712891719494,0.0]","[0.9530308535475724,0.04605143356070808,0.0009177128917194939,0.0]",0.0
2.69,9.13,666,Transit,0.0,"[2.69,9.13,666.0]","[9.693489461718979,0.2913805662880208,0.009516921170795431,0.0056130508222057484]","[0.9693489461718977,0.029138056628802072,0.000951692117079543,0.0005613050822205748]",0.0
11.77,889.9,1660,Transit,0.0,"[11.77,889.9,1660.0]","[9.868889710450034,0.11366081540820479,0.01503959276435671,0.0024098813774041227]","[0.9868889710450034,0.011366081540820479,0.001503959276435671,0.00024098813774041226]",0.0
8.709,425.25654,814,Transit,0.0,"[8.709,425.25654,814.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
1.43,6.35,1102,Transit,0.0,"[1.43,6.35,1102.0]","[9.715208813088978,0.23074619525008336,0.0034273411804261944,0.050617650480511575]","[0.971520881308898,0.02307461952500834,0.0003427341180426195,0.005061765048051159]",0.0
2.59,9.68,1089,Transit,0.0,"[2.59,9.68,1089.0]","[9.834024388754111,0.14289046634546615,0.011705104978235256,0.011380039922187342]","[0.9834024388754111,0.014289046634546615,0.0011705104978235255,0.001138003992218734]",0.0
1.242,2.33,595,Transit,0.0,"[1.242,2.33,595.0]","[9.7477477174897,0.2522522825103005,0.0,0.0]","[0.97477477174897,0.025225228251030053,0.0,0.0]",0.0
12.778,731.00534,1375,Transit,0.0,"[12.778,731.00534,1375.0]","[9.90278801553478,0.079762510323459,0.01503959276435671,0.0024098813774041227]","[0.990278801553478,0.0079762510323459,0.001503959276435671,0.00024098813774041226]",0.0
9.718,2302.899,970,Transit,0.0,"[9.718,2302.899,970.0]","[9.831656369078761,0.15402895301772168,0.011904796526112196,0.0024098813774041227]","[0.9831656369078761,0.015402895301772168,0.0011904796526112196,0.00024098813774041226]",0.0
14.022,292.72143,1367,Transit,0.0,"[14.022,292.72143,1367.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
1.745,8.83,2128,Transit,0.0,"[1.745,8.83,2128.0]","[9.7656852416445,0.1934717302842254,0.006969253813247919,0.033873774258026935]","[0.9765685241644502,0.019347173028422544,0.000696925381324792,0.0033873774258026943]",0.0
2.904,1.63,1102,Transit,0.0,"[2.904,1.63,1102.0]","[9.875707334021335,0.10722774845703612,0.006924034972427164,0.010140882549200973]","[0.9875707334021335,0.010722774845703612,0.0006924034972427164,0.0010140882549200974]",0.0
13.664,1026.5909,1620,Transit,0.0,"[13.664,1026.5909,1620.0]","[9.90278801553478,0.079762510323459,0.01503959276435671,0.0024098813774041227]","[0.990278801553478,0.0079762510323459,0.001503959276435671,0.00024098813774041226]",0.0
2.759,6.63,828,Transit,0.0,"[2.759,6.63,828.0]","[9.527651218688781,0.45747844623987904,0.008163192345413533,0.006707142725925661]","[0.9527651218688782,0.045747844623987906,0.0008163192345413533,0.0006707142725925661]",0.0
15.244,1004.33777,1102,Transit,0.0,"[15.244,1004.33777,1102.0]","[9.90278801553478,0.079762510323459,0.01503959276435671,0.0024098813774041227]","[0.990278801553478,0.0079762510323459,0.001503959276435671,0.00024098813774041226]",0.0
11.433,464.98529,1714,Transit,0.0,"[11.433,464.98529,1714.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
3.0,18.1,470,Transit,0.0,"[3.0,18.1,470.0]","[9.758263653257135,0.22610315745898818,0.011335927935355735,0.004297261348521537]","[0.9758263653257135,0.022610315745898817,0.0011335927935355735,0.0004297261348521537]",0.0
9.8,181.0,1102,Transit,0.0,"[9.8,181.0,1102.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
17.295,233.92288,1955,Transit,0.0,"[17.295,233.92288,1955.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
2.87,16.9,1135,Transit,0.0,"[2.87,16.9,1135.0]","[9.874564703525815,0.10388825253177959,0.01483990121647977,0.006707142725925661]","[0.9874564703525814,0.010388825253177959,0.001483990121647977,0.0006707142725925661]",0.0
16.141,731.00534,1102,Transit,0.0,"[16.141,731.00534,1102.0]","[9.90278801553478,0.079762510323459,0.01503959276435671,0.0024098813774041227]","[0.990278801553478,0.0079762510323459,0.001503959276435671,0.00024098813774041226]",0.0
2.697,17.7,637,Transit,0.0,"[2.697,17.7,637.0]","[9.805322476786547,0.17904433392957642,0.011335927935355735,0.004297261348521537]","[0.9805322476786547,0.017904433392957643,0.0011335927935355735,0.0004297261348521537]",0.0
4.1,10.8,1102,Transit,0.0,"[4.1,10.8,1102.0]","[9.834024388754111,0.14289046634546615,0.011705104978235256,0.011380039922187342]","[0.9834024388754111,0.014289046634546615,0.0011705104978235255,0.001138003992218734]",0.0
3.297,8.7,993,Transit,0.0,"[3.297,8.7,993.0]","[9.834024388754111,0.14289046634546615,0.011705104978235256,0.011380039922187342]","[0.9834024388754111,0.014289046634546615,0.0011705104978235255,0.001138003992218734]",0.0
12.285,731.00534,605,Transit,0.0,"[12.285,731.00534,605.0]","[9.888819458233058,0.09964492228370862,0.011535619483232675,0.0]","[0.9888819458233058,0.009964492228370862,0.0011535619483232676,0.0]",0.0
15.984,283.492,1652,Transit,0.0,"[15.984,283.492,1652.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
13.787,378.85336,1429,Transit,0.0,"[13.787,378.85336,1429.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
15.02,189.10885,1312,Transit,0.0,"[15.02,189.10885,1312.0]","[9.890396441804915,0.08967576930734998,0.01627875013734308,0.003649038750390492]","[0.9890396441804917,0.008967576930735,0.0016278750137343082,0.0003649038750390493]",0.0
